,support,itemsets,length
40,0.6600361663652803,"frozenset({'yes_buyDrink', 'rain'})",2
44,0.47377938517179025,"frozenset({'yes_buyDrink', 'no_spec'})",2
41,0.46835443037974683,"frozenset({'yes_buyDrink', 'clothes_item'})",2
61,0.46112115732368897,"frozenset({'big_basket', 'yes_buyDrink'})",2
45,0.45207956600361665,"frozenset({'no_spec', 'rain'})",2
51,0.45207956600361665,"frozenset({'yes_buyDrink', 'male'})",2
42,0.4448462929475588,"frozenset({'clothes_item', 'rain'})",2
62,0.4394213381555154,"frozenset({'big_basket', 'rain'})",2
52,0.4394213381555154,"frozenset({'male', 'rain'})",2
77,0.4104882459312839,"frozenset({'rain', '31-50age'})",2
78,0.4104882459312839,"frozenset({'yes_buyDrink', '31-50age'})",2
158,0.3688969258589512,"frozenset({'small_basket', 'rain'})",2
122,0.3688969258589512,"frozenset({'yes_buyDrink', 'female'})",2
127,0.3688969258589512,"frozenset({'female', 'rain'})",2
94,0.3670886075949367,"frozenset({'yes_buyDrink', 'casual_attire'})",2
187,0.36347197106690776,"frozenset({'blankets_item', 'rain'})",2
154,0.35985533453887886,"frozenset({'small_basket', 'yes_buyDrink'})",2
176,0.3562386980108499,"frozenset({'yes_spec', 'rain'})",2
188,0.352622061482821,"frozenset({'yes_buyDrink', 'blankets_item'})",2
170,0.3471971066907776,"frozenset({'yes_spec', 'yes_buyDrink'})",2
46,0.3453887884267631,"frozenset({'no_spec', 'clothes_item'})",2
63,0.3399638336347197,"frozenset({'big_basket', 'no_spec'})",2
95,0.32730560578661844,"frozenset({'casual_attire', 'rain'})",2
64,0.325497287522604,"frozenset({'big_basket', 'clothes_item'})",2
53,0.3092224231464738,"frozenset({'clothes_item', 'male'})",2
183,0.30560578661844484,"frozenset({'yes_buyDrink', 'toddler_kids'})",2
80,0.30018083182640143,"frozenset({'clothes_item', '31-50age'})",2
79,0.30018083182640143,"frozenset({'big_basket', '31-50age'})",2
